paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,Alexa Fluor 488-conjugated donkey anti-rabbit IgG H&L,secondary,Abcam,ab150077,pre-expansion,1:300−1:400 (cells); 1:500 (tissue)
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,Alexa Fluor 594-conjugated donkey anti-mouse IgG H&L,secondary,Abcam,ab150108,pre-expansion,1:300−1:400 (cells); 1:500 (tissue)
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,Alexa Fluor 594-conjugated donkey anti-rabbit IgG H&L,secondary,Abcam,ab150076,pre-expansion,1:300−1:400 (cells); 1:500 (tissue)
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,Alexa Fluor 647-conjugated goat anti-mouse IgG H&L,secondary,Abcam,ab150115,pre-expansion,1:300−1:400 (cells); 1:500 (tissue)
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,Alexa Fluor 647-conjugated donkey anti-rabbit IgG H&L,secondary,Abcam,ab150063,pre-expansion,1:300−1:400 (cells); 1:500 (tissue)
Detection of Chlamydia Developmental Forms and Secreted Effectors by Expansion Microscopy,Kunz 2019,anti-GFP (ab1218),primary,Abcam,ab1218,pre-expansion,1:200
Detection of Chlamydia Developmental Forms and Secreted Effectors by Expansion Microscopy,Kunz 2019,anti-mcherry (ab167453),primary,Abcam,ab167453,pre-expansion,1:500
Detection of Chlamydia Developmental Forms and Secreted Effectors by Expansion Microscopy,Kunz 2019,Alexa 488 (A-11008),secondary,Thermo Fisher,A-11008,pre-expansion,1:200
Detection of Chlamydia Developmental Forms and Secreted Effectors by Expansion Microscopy,Kunz 2019,ATTO 647N (610-156-121S),secondary,Rockland,610-156-121S,pre-expansion,1:200
Fluorescence Lifetime Multiplex Imaging in Expansion Microscopy with Tunable Donor−Acceptor Polymer Dots,Liu 2023,biotinylated mouse anti-alpha tubulin,primary,Abcam,ab74696,pre-expansion,1:100
Fluorescence Lifetime Multiplex Imaging in Expansion Microscopy with Tunable Donor−Acceptor Polymer Dots,Liu 2023,rabbit anti-Tomm20,primary,Thermofisher,PA552843,pre-expansion,1:50
Fluorescence Lifetime Multiplex Imaging in Expansion Microscopy with Tunable Donor−Acceptor Polymer Dots,Liu 2023,rabbit anti-clathrin,primary,Abcam,ab21679,pre-expansion,1:200
Fluorescence Lifetime Multiplex Imaging in Expansion Microscopy with Tunable Donor−Acceptor Polymer Dots,Liu 2023,mouse anti-laminA/C,primary,Abcam,ab40567,pre-expansion,1:100
Expansion Microscopy for Cell Biology Analysis in Fungi,Götz 2020,"anti-α-tubulin antibody (abcam, ab18251)",primary,Abcam,ab18251,pre-expansion,
Expansion Microscopy for Cell Biology Analysis in Fungi,Götz 2020,"secondary antibody (Alexa 488-label, Thermo-ﬁsher, A11008)",secondary,Thermo Fisher,A11008,pre-expansion,
Expansion Microscopy for Cell Biology Analysis in Fungi,Götz 2020,"secondary antibody (ATTO647N-label, Sigma, 40839)",secondary,Sigma,40839,pre-expansion,
Visualizing the trans-synaptic arrangement of synaptic proteins by expansion microscopy,Sachs 2024,goat anti-rabbit secondary antibody,secondary,Invitrogen,31212,,
Applications of Super Resolution Expansion Microscopy in Yeast,Chen 2021,"anti-GFP antibody (ab13970, Abcam)",primary,Abcam,ab13970,pre-expansion,
Applications of Super Resolution Expansion Microscopy in Yeast,Chen 2021,"secondary antibody (ab150173, Abcam)",secondary,Abcam,ab150173,pre-expansion,
Functionalized Docetaxel Probes for Refined Visualization of Mitotic Spindles by Expansion Microscopy,Wen 2025,rabbit anti-α-tubulin (Abcam ab18251),primary,Abcam,ab18251,pre-expansion,5 μg/mL
Functionalized Docetaxel Probes for Refined Visualization of Mitotic Spindles by Expansion Microscopy,Wen 2025,mouse anti-β-tubulin (Merck T8328),primary,Merck,T8328,pre-expansion,5 μg/mL
Functionalized Docetaxel Probes for Refined Visualization of Mitotic Spindles by Expansion Microscopy,Wen 2025,rabbit anti-TOMM20 (Abcam ab186734),primary,Abcam,ab186734,pre-expansion,4 μg/mL
Functionalized Docetaxel Probes for Refined Visualization of Mitotic Spindles by Expansion Microscopy,Wen 2025,"goat anti-rabbit F(ab)2 IgG, AF 488 (ThermoFisher A-11070)",secondary,ThermoFisher,A-11070,pre-expansion,100×
Functionalized Docetaxel Probes for Refined Visualization of Mitotic Spindles by Expansion Microscopy,Wen 2025,"goat anti-mouse IgG, AF 488 (Abcam ab150113)",secondary,Abcam,ab150113,pre-expansion,100×
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Human anti-centromeres,primary,Antibodies Incorporated,15-235,pre-expansion,2–5 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Mouse anti-H3K4me3,primary,EMD Millipore,05-1339-S,pre-expansion,2–5 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Mouse anti-RNA polymerase II CTD repeat YSPTSPS phosphorylated at Serine 5,primary,Abcam,ab5408,pre-expansion,2–5 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Rabbit anti-H3K4me3,primary,Active Motif,39159,pre-expansion,2–5 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Rabbit anti-H3K27me3,primary,Active Motif,39155,pre-expansion,2–5 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Rabbit anti-H3K27ac,primary,Active Motif,39133,pre-expansion,2–5 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Mouse anti-H3K27me3,primary,Active Motif,61017,pre-expansion,2–5 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Donkey anti-rabbit (unconjugated),secondary,Jackson ImmunoResearch,711-005-152,pre-expansion,2–3 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Donkey anti-human (unconjugated),secondary,Jackson ImmunoResearch,709-005-149,pre-expansion,2–3 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Donkey anti-rabbit conjugated with Alexa Fluor 488,secondary,Jackson ImmunoResearch,711-545-152,pre-expansion,2–3 µg/ml
Multiplexed single-cell profiling of chromatin states at genomic loci by expansion microscopy,Woodworth 2021,Donkey anti-mouse conjugated with Alexa Fluor 488,secondary,Jackson ImmunoResearch,715-545-150,pre-expansion,2–3 µg/ml
Mapping Protein Distribution in the Canine Photoreceptor Sensory Cilium and Calyceal Processes by Ultrastructure Expansion Microscopy,Takahashi 2025,CCDC66 antibody (PA5-60642),primary,Thermo Fisher Scientific (Invitrogen),PA5-60642,post-expansion,
Iterative immunostaining combined with expansion microscopy and image processing reveals nanoscopic network organization of nuclear lamina,Mäntylä 2023,HSV-1 VP5 MAb (sc-13525),primary,Santa Cruz Biotechnology,sc-13525,pre-expansion,
Iterative immunostaining combined with expansion microscopy and image processing reveals nanoscopic network organization of nuclear lamina,Mäntylä 2023,mouse monoclonal anti–lamin A/C C-terminus (LA/C-C) [131C3] (ab18984),primary,Abcam,ab18984,pre-expansion,1×
Iterative immunostaining combined with expansion microscopy and image processing reveals nanoscopic network organization of nuclear lamina,Mäntylä 2023,mouse monoclonal anti–lamin A/C N-terminus (LA/C-N) [E-1] (sc-376248),primary,Santa Cruz Biotechnology,sc-376248,pre-expansion,1×
Iterative immunostaining combined with expansion microscopy and image processing reveals nanoscopic network organization of nuclear lamina,Mäntylä 2023,rabbit monoclonal anti–lamin A/C (LA/C-rod) [EP4520-16] (ab133256),primary,Abcam,ab133256,pre-expansion,1×
Iterative immunostaining combined with expansion microscopy and image processing reveals nanoscopic network organization of nuclear lamina,Mäntylä 2023,rabbit polyclonal anti–lamin A/C (pLA/C) (ab227176),primary,Abcam,ab227176,pre-expansion,1×
Iterative immunostaining combined with expansion microscopy and image processing reveals nanoscopic network organization of nuclear lamina,Mäntylä 2023,rabbit polyclonal anti–histone H3 (ab1791),primary,Abcam,ab1791,pre-expansion,1×
Iterative immunostaining combined with expansion microscopy and image processing reveals nanoscopic network organization of nuclear lamina,Mäntylä 2023,rabbit polyclonal anti–H3K9me3 (ab8898),primary,Abcam,ab8898,pre-expansion,1×
Label-retention expansion microscopy,,rabbit anti-clathrin heavy-chain,primary,Abcam,ab21679,pre-expansion,2 µg/ml
Label-retention expansion microscopy,,rat anti–α-tubulin (tyrosinated) clone YL1/2,primary,Millipore Sigma,MAB1864-I,pre-expansion,2 µg/ml
Label-retention expansion microscopy,,monoclonal mouse anti-Nup153,primary,Abcam,ab24700,pre-expansion,2 µg/ml
Label-retention expansion microscopy,,anti-H3K9me3,primary,Abcam,ab176916,pre-expansion,2 µg/ml
Label-retention expansion microscopy,,anti-H3K4me3,primary,Abcam,ab8580,pre-expansion,2 µg/ml
Label-retention expansion microscopy,,goat anti-CEP164,primary,Santa Cruz Biotechnology,sc-240226,pre-expansion,1:100
Label-retention expansion microscopy,,mouse anti-Bassoon,primary,StressGene,VAM-PS003,pre-expansion,1:500
Label-retention expansion microscopy,,rabbit anti-Homer1,primary,Synaptic Systems,160003,pre-expansion,1:200
Label-retention expansion microscopy,,AffiniPure Donkey Anti-Rabbit IgG (unconjugated),secondary,Jackson ImmunoResearch,711-005-152,pre-expansion,3 µg/ml
Label-retention expansion microscopy,,AffiniPure Donkey Anti-Rat IgG (unconjugated),secondary,Jackson ImmunoResearch,712-005-153,pre-expansion,3 µg/ml
Label-retention expansion microscopy,,DyLight 594–labeled anti-DIG/Digoxin,secondary,Vector Laboratories,DI-7594,post-expansion,2 µg/ml
Pre-gelation staining expansion microscopy for visualisation of the Plasmodium liver stage,,mouse anti-LAMP1 (clone H4A3),primary,Developmental Hybridoma Bank,H4A3,pre-expansion,1:1000 (PS-ExM); 1:500 (post-staining ExM)
Pre-gelation staining expansion microscopy for visualisation of the Plasmodium liver stage,,guinea pig anti-α-tubulin,primary,Geneva Antibody Facility,AA345,pre-expansion,1:200 (PS-ExM); 1:125 (post-staining ExM)
Pre-gelation staining expansion microscopy for visualisation of the Plasmodium liver stage,,anti-rabbit-IgG conjugated to ATTO 647,secondary,Sigma,40839,pre-expansion,1:1000 (PS-ExM); 1:500 (post-staining ExM)
Pre-gelation staining expansion microscopy for visualisation of the Plasmodium liver stage,,anti-mouse-IgG conjugated to Alexa Fluor 488,secondary,Invitrogen Molecular Probes,A11001,pre-expansion,1:1000 (PS-ExM); 1:500 (post-staining ExM)
Pre-gelation staining expansion microscopy for visualisation of the Plasmodium liver stage,,anti-guinea pig-IgG conjugated to Alexa Fluor 594,secondary,Invitrogen Molecular Probes,A11076,pre-expansion,1:1000 (PS-ExM); 1:500 (post-staining ExM)
Pre-gelation staining expansion microscopy for visualisation of the Plasmodium liver stage,,anti-chicken-IgY conjugated to Alexa Fluor 594,secondary,Invitrogen Molecular Probes,A11042,pre-expansion,1:500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-CEP290,primary,Santa Cruz Biotechnology,sc-390462,pre-expansion,1:500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-CEP290,primary,Santa Cruz Biotechnology,sc-390462,pre-expansion,1:100
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-β-actin,primary,Abcam,49900,pre-expansion,1:2500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,anti-mouse-IgG secondary antibody conjugated with HRP,secondary,Jackson Laboratories,115-035-062,pre-expansion,1:2500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-ARL13B [N295B/66],primary,Biolegend,857601,pre-expansion,1:500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-CEP164,primary,Santa Cruz Biotechnology,sc-515403,pre-expansion,1:200
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-GFAP,primary,Cell Signaling,GA5,pre-expansion,1:300
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-MAP2A+B (IgG1),primary,Sigma,MAB378,pre-expansion,1:300
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-S100b,primary,Sigma,S2532,pre-expansion,1:200
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-nestin,primary,Millipore,MAB5326,pre-expansion,1:300
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rabbit anti-CEP290,primary,Abcam,ab85728,pre-expansion,1:500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rabbit anti-ARL13B,primary,Proteintech,17711-1-AP,pre-expansion,1:500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rabbit anti-GAD65,primary,Thermo Fisher Scientific,PA5-85750,pre-expansion,1:500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rabbit anti-PAX6,primary,Biolegend,Poly19013,pre-expansion,1:300
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rabbit anti-SOX2,primary,Cell Signaling,mAB3579,pre-expansion,1:300
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rabbit anti-TBR1,primary,Abcam,ab31940,pre-expansion,1:200
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rat anti-CTIP2 (25B6),primary,Abcam,ab18465,pre-expansion,1:500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,sheep anti-TTR (Prealbumin),primary,Bio-Rad,AHP1837,pre-expansion,1:100
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,Alexa Fluor 488 goat anti-mouse-IgG,secondary,Life Technologies,A21121,pre-expansion,1:1000
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,Alexa Fluor 568 goat anti-mouse-IgG,secondary,Life Technologies,A21124,pre-expansion,1:1000
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,Alexa Fluor 568 goat anti-rat-IgG,secondary,Life Technologies,A11077,pre-expansion,1:1000
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,Alexa Fluor 647 goat anti-rabbit-IgG,secondary,Life Technologies,A21245,pre-expansion,1:1000
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,Alexa Fluor 647 goat anti-sheep-IgG,secondary,Life Technologies,A21448,pre-expansion,1:1000
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,mouse anti-OCT3/4,primary,Santa Cruz Biotechnology,sc-5279,pre-expansion,1:200
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rabbit anti-Ki67,primary,Abcam,Ab16667,pre-expansion,1:250
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,rat anti-PH3,primary,Abcam,ab10543,pre-expansion,1:500
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,Alexa Fluor 568 donkey anti-goat-IgG,secondary,Life Technologies,A11057,pre-expansion,1:1000
CEP290 deficiency disrupts ciliary axonemal architecture in human iPSC-derived brain organoids,,anti-IFT88,primary,Proteintech,13967-1-AP,post-expansion,1:250
